index,timestamp,source_ip,dest_ip,source_port,dest_port,user_id,event_type,log_source,src_hostname,dest_hostname,process_name,command_line,bytes_in,bytes_out,protocol,status_code,label,attack_stage,threat_family,confidence_score
1,2026-02-15T02:56:00Z,10.0.7.101,203.0.113.88,59826,445,corp\asmith,file_access,Sysmon,WIN-WS22,ext-news,chrome.exe,,2304,936282,TCP,200,benign,none,none,0.02
2,2026-02-14T20:35:00Z,10.0.3.251,151.101.1.69,43808,445,corp\jdoe,network_flow,Windows_EventLog,WIN-SRV50,DC01,powershell.exe,,4015,9415228,TCP,200,benign,none,none,0.13
3,2026-02-14T16:56:00Z,10.0.9.107,203.0.113.88,56684,88,corp\asmith,login,Sysmon,WIN-WS21,FILE01,chrome.exe,,9134,5146693,TCP,0,benign,none,none,0.1
4,2026-02-14T20:57:00Z,10.0.5.126,203.0.113.88,55372,3389,corp\admin,process_exec,Windows_EventLog,WIN-WS22,DC01,powershell.exe,,6051,2114451,TCP,0,benign,none,none,0.03
5,2026-02-15T03:02:00Z,10.0.3.236,203.0.113.88,60626,88,corp\asmith,file_access,Zeek,WIN-SRV50,ext-news,backup.exe,,6505,425528,TCP,403,benign,none,none,0.13
6,2026-02-15T01:12:00Z,10.0.6.134,151.101.1.69,63542,443,corp\asmith,file_access,Zeek,WIN-SRV50,DC01,winlogon.exe,,9315,7001014,TCP,200,benign,none,none,0.04
7,2026-02-15T05:03:00Z,10.0.4.227,203.0.113.88,45501,445,corp\asmith,process_exec,Sysmon,WIN-WS22,DC01,powershell.exe,,6508,4368848,TCP,200,benign,none,none,0.02
8,2026-02-14T13:07:00Z,10.0.8.165,151.101.1.69,56117,445,corp\admin,network_flow,Sysmon,WIN-WS21,FILE01,backup.exe,,3245,2887853,TCP,200,benign,none,none,0.03
9,2026-02-15T05:25:00Z,10.0.1.162,198.51.100.45,61974,3389,,file_access,Windows_EventLog,WIN-SRV50,DC01,winlogon.exe,,8513,2565691,TCP,200,benign,none,none,0.04
10,2026-02-14T22:19:00Z,10.0.4.189,203.0.113.88,43424,443,corp\jdoe,process_exec,Sysmon,WIN-SRV50,FILE01,winlogon.exe,,4570,2899467,TCP,200,benign,none,none,0.12
11,2026-02-15T03:09:00Z,10.0.7.230,203.0.113.88,51682,88,corp\asmith,file_access,Zeek,WIN-SRV50,ext-news,winlogon.exe,,1687,5405272,TCP,200,benign,none,none,0.06
12,2026-02-15T06:06:00Z,10.0.2.5,10.0.1.10,44384,88,corp\jdoe,process_exec,Zeek,,DC01,backup.exe,,2225,8414864,TCP,403,benign,none,none,0.12
13,2026-02-14T15:00:00Z,10.0.1.163,151.101.1.69,42974,3389,corp\asmith,network_flow,Sysmon,WIN-SRV50,ext-news,winlogon.exe,,8607,1109996,TCP,200,benign,none,none,0.07
14,2026-02-15T05:51:00Z,10.0.7.150,151.101.1.69,46924,3389,corp\jdoe,file_access,Sysmon,WIN-WS22,DC01,powershell.exe,,2083,7393296,TCP,403,benign,none,none,0.15
15,2026-02-15T04:52:00Z,10.0.4.203,151.101.1.69,60781,443,corp\admin,file_access,Windows_EventLog,WIN-WS21,FILE01,chrome.exe,,,2486219,TCP,403,benign,none,none,0.09
16,2026-02-14T20:10:00Z,10.0.4.147,198.51.100.45,42287,3389,corp\jdoe,network_flow,Zeek,WIN-WS21,DC01,winlogon.exe,,3778,5683282,TCP,200,benign,none,none,0.07
17,2026-02-14T11:22:00Z,10.0.4.225,151.101.1.69,48424,88,corp\jdoe,network_flow,Sysmon,WIN-WS22,FILE01,powershell.exe,,1253,3074422,TCP,200,benign,none,none,0.14
18,2026-02-15T07:51:00Z,10.0.6.13,10.0.1.10,50207,3389,corp\asmith,process_exec,Zeek,WIN-WS22,ext-news,,,3546,3302853,TCP,0,benign,none,none,0.08
19,2026-02-15T02:36:00Z,10.0.2.14,203.0.113.88,50785,443,corp\jdoe,process_exec,Sysmon,WIN-WS21,DC01,backup.exe,,5884,6318411,TCP,403,benign,none,none,0.04
20,2026-02-14T08:23:00Z,10.0.6.112,198.51.100.45,42961,445,corp\jdoe,process_exec,Sysmon,WIN-SRV50,ext-news,chrome.exe,,1560,2682708,TCP,200,benign,none,none,0.06
21,2026-02-15T01:24:00Z,10.0.2.199,151.101.1.69,58093,88,corp\asmith,process_exec,Zeek,WIN-WS22,ext-news,chrome.exe,,4742,350739,TCP,0,benign,none,none,0.02
22,2026-02-14T13:57:00Z,10.0.8.176,198.51.100.45,42915,3389,corp\asmith,file_access,Windows_EventLog,WIN-WS22,ext-news,powershell.exe,,5820,2290406,TCP,0,benign,none,none,0.04
23,2026-02-14T21:54:00Z,10.0.3.154,151.101.1.69,48324,443,corp\admin,login,Windows_EventLog,WIN-WS21,ext-news,winlogon.exe,,9163,1953945,TCP,200,benign,none,none,0.14
24,2026-02-15T02:25:00Z,10.0.7.125,151.101.1.69,45139,443,corp\jdoe,login,Windows_EventLog,WIN-WS22,FILE01,powershell.exe,,762,3009884,TCP,0,benign,none,none,0.09
25,2026-02-15T01:00:00Z,10.0.6.88,10.0.1.10,45939,443,corp\admin,login,Sysmon,WIN-WS21,FILE01,powershell.exe,,4852,1607598,TCP,200,benign,none,none,0.11
26,2026-02-14T14:51:00Z,10.0.4.77,151.101.1.69,54004,445,corp\jdoe,login,Sysmon,WIN-SRV50,ext-news,chrome.exe,,3703,579389,TCP,0,benign,none,none,0.09
27,2026-02-14T10:09:00Z,10.0.8.144,151.101.1.69,53706,88,,process_exec,Zeek,WIN-WS22,ext-news,chrome.exe,,7022,3993889,TCP,0,benign,none,none,0.11
28,2026-02-14T20:58:00Z,10.0.4.104,10.0.1.10,40750,445,corp\admin,network_flow,Windows_EventLog,WIN-SRV50,ext-news,,,907,9491904,TCP,0,benign,none,none,0.07
29,2026-02-14T16:56:00Z,10.0.5.219,10.0.1.10,44551,445,corp\jdoe,network_flow,Zeek,WIN-WS22,DC01,chrome.exe,,2915,6622979,TCP,403,benign,none,none,0.14
30,2026-02-14T08:50:00Z,10.0.4.42,151.101.1.69,47874,445,corp\asmith,file_access,Zeek,WIN-SRV50,FILE01,chrome.exe,,7105,7259444,TCP,0,benign,none,none,0.06
31,2026-02-14T10:31:00Z,10.0.5.70,10.0.1.10,53748,3389,corp\admin,file_access,Sysmon,WIN-WS22,ext-news,chrome.exe,,435,7958270,TCP,0,benign,none,none,0.15
32,2026-02-14T22:14:00Z,10.0.8.69,198.51.100.45,62517,445,corp\asmith,login,Zeek,WIN-WS21,FILE01,winlogon.exe,,3858,1920596,TCP,0,benign,none,none,0.13
33,2026-02-14T09:44:00Z,10.0.8.240,198.51.100.45,61723,88,corp\asmith,process_exec,Zeek,WIN-WS22,FILE01,winlogon.exe,,5665,8281324,TCP,403,benign,none,none,0.12
34,2026-02-14T17:46:00Z,10.0.1.172,10.0.1.10,60348,88,corp\admin,network_flow,Zeek,WIN-WS21,ext-news,winlogon.exe,,4833,2533808,TCP,0,benign,none,none,0.09
35,2026-02-14T13:25:00Z,10.0.3.248,203.0.113.88,47100,443,corp\admin,process_exec,Zeek,WIN-WS21,FILE01,backup.exe,,241,5939189,TCP,200,benign,none,none,0.07
36,2026-02-15T05:26:00Z,10.0.8.222,151.101.1.69,56578,3389,corp\asmith,file_access,Sysmon,WIN-SRV50,DC01,powershell.exe,,4304,846286,TCP,403,benign,none,none,0.07
37,2026-02-15T04:04:00Z,10.0.6.67,203.0.113.88,60848,88,corp\jdoe,login,Windows_EventLog,WIN-WS22,ext-news,,,1189,5242094,TCP,0,benign,none,none,0.1
38,2026-02-15T01:09:00Z,10.0.8.156,151.101.1.69,51648,443,corp\jdoe,file_access,Sysmon,WIN-SRV50,FILE01,powershell.exe,,1524,3341824,TCP,403,benign,none,none,0.14
